วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
1/10/2024,8.10,8.00,8.10,7.90,16.41M,1.89%
1/9/2024,7.95,8.05,8.05,7.95,6.27M,-0.63%
1/8/2024,8.00,8.00,8.05,7.95,19.62M,-0.62%
1/5/2024,8.05,8.15,8.20,8.05,29.78M,-1.23%
1/4/2024,8.15,8.00,8.15,8.00,20.93M,1.24%
1/3/2024,8.05,8.05,8.10,8.00,18.47M,0.00%
1/2/2024,8.05,7.90,8.10,7.90,24.88M,1.26%
12/28/2023,7.95,7.85,7.95,7.85,15.98M,0.63%
12/27/2023,7.90,7.90,7.95,7.85,13.56M,-0.63%
12/26/2023,7.95,7.90,7.95,7.85,11.51M,1.27%
12/25/2023,7.85,7.85,7.95,7.80,12.20M,0.00%
12/22/2023,7.85,8.00,8.00,7.80,58.63M,-1.88%
12/21/2023,8.00,8.05,8.10,7.95,27.19M,-0.62%
12/20/2023,8.05,8.05,8.10,8.00,14.10M,0.00%
12/19/2023,8.05,7.95,8.05,7.90,21.43M,1.26%
12/18/2023,7.95,8.00,8.10,7.90,23.48M,-1.24%
12/15/2023,8.05,8.10,8.10,8.00,39.81M,-0.62%
12/14/2023,8.10,8.05,8.10,8.00,9.50M,0.62%
12/13/2023,8.05,8.00,8.05,7.95,14.97M,0.63%
12/12/2023,8.00,8.10,8.15,7.95,22.37M,-1.23%
12/8/2023,8.10,8.00,8.15,8.00,20.43M,1.25%
12/7/2023,8.00,8.05,8.10,8.00,13.29M,-1.23%
12/6/2023,8.10,7.95,8.10,7.90,26.47M,1.89%
12/4/2023,7.95,7.80,7.95,7.80,9.37M,1.27%
12/1/2023,7.85,7.80,7.90,7.70,18.93M,0.64%
11/30/2023,7.80,7.75,7.80,7.50,84.05M,0.65%
11/29/2023,7.75,7.85,7.85,7.75,25.54M,-1.27%
11/28/2023,7.85,7.90,7.90,7.75,23.72M,0.00%
11/27/2023,7.85,7.90,7.95,7.80,16.28M,-0.63%
11/24/2023,7.90,7.95,7.95,7.85,17.45M,-1.25%
11/23/2023,8.00,8.00,8.00,7.90,24.17M,0.00%
11/22/2023,8.00,8.05,8.05,7.95,18.73M,-0.62%
11/21/2023,8.05,8.15,8.15,8.00,12.76M,-1.23%
11/20/2023,8.15,8.15,8.15,8.00,18.17M,0.00%
11/17/2023,8.15,7.95,8.15,7.95,39.13M,1.87%
11/16/2023,8.00,8.00,8.05,7.95,12.31M,0.00%
11/15/2023,8.00,7.90,8.00,7.90,21.75M,1.27%
11/14/2023,7.90,7.90,7.95,7.75,29.54M,0.00%
11/13/2023,7.90,7.90,7.90,7.75,16.05M,0.00%
11/10/2023,7.90,7.95,8.05,7.90,14.37M,-1.25%
11/9/2023,8.00,8.05,8.05,7.90,31.71M,0.00%
11/8/2023,8.00,8.05,8.05,7.95,22.89M,0.00%
11/7/2023,8.00,8.00,8.10,7.95,14.27M,0.00%
11/6/2023,8.00,8.15,8.15,8.00,20.63M,-0.62%
11/3/2023,8.05,8.00,8.10,8.00,18.46M,0.63%
11/2/2023,8.00,7.95,8.00,7.85,25.62M,1.27%
11/1/2023,7.90,7.90,7.95,7.80,19.34M,0.00%
10/31/2023,7.90,8.05,8.10,7.80,43.60M,-2.47%
10/30/2023,8.10,8.10,8.10,7.90,25.59M,-0.61%
10/27/2023,8.15,8.00,8.15,7.90,20.09M,1.87%
10/26/2023,8.00,8.00,8.00,7.90,18.26M,0.00%
10/25/2023,8.00,8.05,8.05,7.85,31.21M,-0.62%
10/24/2023,8.05,8.00,8.05,7.95,16.90M,0.63%
10/20/2023,8.00,8.15,8.20,8.00,39.27M,-2.44%
10/19/2023,8.20,8.15,8.25,8.10,18.00M,-0.61%
10/18/2023,8.25,8.20,8.30,8.10,28.10M,0.61%
10/17/2023,8.20,8.10,8.25,8.05,30.40M,1.23%
10/16/2023,8.10,8.20,8.25,7.95,33.58M,-1.22%
10/12/2023,8.20,8.15,8.20,8.10,18.25M,0.61%
10/11/2023,8.15,8.00,8.20,7.95,37.73M,1.87%
10/10/2023,8.00,8.00,8.05,7.95,11.29M,0.00%
10/9/2023,8.00,8.00,8.00,7.85,12.87M,0.00%
10/6/2023,8.00,8.05,8.10,7.95,10.04M,-0.62%
10/5/2023,8.05,8.05,8.10,7.90,23.53M,0.00%
10/4/2023,8.05,7.75,8.10,7.70,52.50M,1.26%
10/3/2023,7.95,8.05,8.10,7.90,54.28M,-1.85%
10/2/2023,8.10,8.30,8.30,8.00,44.58M,-2.41%
9/29/2023,8.30,8.30,8.35,8.20,23.35M,0.61%
9/28/2023,8.25,8.25,8.35,8.15,28.84M,-0.60%
9/27/2023,8.30,8.25,8.30,8.20,28.44M,0.00%
9/26/2023,8.30,8.25,8.35,8.20,44.45M,0.61%
9/25/2023,8.25,8.70,8.70,8.25,88.08M,-5.17%
9/22/2023,8.70,8.60,8.70,8.55,28.65M,1.16%
9/21/2023,8.60,8.60,8.65,8.50,34.18M,0.00%
9/20/2023,8.60,8.70,8.70,8.55,19.36M,-1.15%
9/19/2023,8.70,8.70,8.70,8.55,12.85M,0.00%
9/18/2023,8.70,8.70,8.75,8.65,10.57M,0.00%
9/15/2023,8.70,8.65,8.75,8.60,30.48M,1.16%
